epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5120.75,0.30066,0.42955,0.58447,0.94287,0.91907,0.89963,0.93712,0.91332,0.91907,0.89963,0.93638,0.90702,0.19009,0.30923,0.33002,0.86143,0.00073025,0.00073025,0.00073025
44,5239.61,0.29535,0.4142,0.56767,0.94882,0.91789,0.91252,0.93989,0.91627,0.91789,0.91252,0.93815,0.91256,0.19257,0.272,0.32652,0.87581,0.000717875,0.000717875,0.000717875
45,5358.49,0.29023,0.41561,0.54052,0.94263,0.93173,0.89854,0.94198,0.9143,0.93296,0.90135,0.9421,0.91391,0.19133,0.28809,0.33912,0.86825,0.0007055,0.0007055,0.0007055
46,5477.36,0.29374,0.40878,0.55573,0.94763,0.92887,0.91754,0.95365,0.92477,0.92591,0.91498,0.95136,0.92326,0.18128,0.2628,0.28642,0.85978,0.000693125,0.000693125,0.000693125
47,5596.61,0.2891,0.41319,0.5488,0.94159,0.92603,0.90065,0.94396,0.91668,0.92603,0.90065,0.94356,0.91566,0.18111,0.25619,0.32765,0.85814,0.00068075,0.00068075,0.00068075
48,5715.52,0.28398,0.39659,0.53392,0.93906,0.92034,0.9117,0.95039,0.92568,0.91754,0.90904,0.94584,0.91989,0.18436,0.2907,0.31225,0.8582,0.000668375,0.000668375,0.000668375
49,5834.45,0.28719,0.40392,0.53994,0.94381,0.92073,0.92017,0.95002,0.9247,0.92073,0.92017,0.94946,0.92216,0.17295,0.27048,0.31217,0.84981,0.000656,0.000656,0.000656
50,5955.83,0.28127,0.3936,0.51968,0.93966,0.95069,0.90889,0.94392,0.92021,0.95581,0.91344,0.94777,0.92132,0.17545,0.30109,0.27842,0.86123,0.000643625,0.000643625,0.000643625
51,6079.65,0.27969,0.38526,0.52005,0.93563,0.9307,0.90889,0.94612,0.9193,0.92757,0.90623,0.94544,0.91599,0.18282,0.30766,0.28345,0.86494,0.00063125,0.00063125,0.00063125
52,6202.78,0.27683,0.39064,0.51557,0.93565,0.94009,0.88724,0.94883,0.92111,0.94009,0.88724,0.94815,0.91633,0.1778,0.29441,0.29968,0.85663,0.000618875,0.000618875,0.000618875
53,6326.43,0.27805,0.40339,0.53489,0.93519,0.91243,0.92744,0.94871,0.92654,0.91243,0.92744,0.94859,0.92146,0.1798,0.25916,0.31895,0.86188,0.0006065,0.0006065,0.0006065
54,6445.52,0.27119,0.37688,0.52179,0.9313,0.91943,0.89665,0.94099,0.91221,0.91943,0.89665,0.94057,0.91405,0.17697,0.26611,0.31881,0.85631,0.000594125,0.000594125,0.000594125
55,6564.56,0.28306,0.3996,0.49736,0.94094,0.93442,0.90047,0.95273,0.92351,0.93442,0.90047,0.95173,0.91569,0.16981,0.28394,0.31154,0.8503,0.00058175,0.00058175,0.00058175
56,6683.47,0.27773,0.39267,0.52973,0.93605,0.87413,0.91159,0.92324,0.89428,0.87152,0.90893,0.92202,0.89483,0.17351,0.26546,0.33074,0.86082,0.000569375,0.000569375,0.000569375
